province,date,all_items,food_6,shelter_7,household_operations_furnishings_and_equipment,clothing_and_footwear,transportation,gasoline,health_and_personal_care,recreation_education_and_reading,alcoholic_beverages_tobacco_products_and_recreational_cannabis,all_items_excluding_food_and_energy_8,all_items_excluding_energy_8,energy_8,goods_9,services_10
Newfoundland and Labrador,10-Aug,117.8,124.7,132.2,107.6,95,114,139.7,114.3,105,135.5,112.1,114.7,142,113.8,123.7
Newfoundland and Labrador,10-Sep,117.8,124.9,132.2,107.4,95.8,113.8,138.1,114.2,105.1,135.4,112.3,114.8,140.6,113.6,124.1
Newfoundland and Labrador,10-Oct,118,123.4,134.4,106.2,96,115.4,143.1,113.4,104.3,135,112.4,114.6,144,113.4,124.7
Newfoundland and Labrador,10-Nov,118.1,122.9,134.6,106,93.3,118,145.6,112.1,103.6,135.3,112.5,114.6,145.5,113.5,124.8
Newfoundland and Labrador,10-Dec,118.1,122.9,135.7,107,88.3,118.7,150.7,112.4,102,135.6,112,114.2,148.5,113.4,124.8
Newfoundland and Labrador,11-Jan,119,124.4,136.6,107.1,93.6,119.8,154.9,112.5,101.3,136,112.5,114.9,151.6,114.9,125.1
Newfoundland and Labrador,11-Feb,119.7,126.4,137.4,107.7,94.3,119.6,154.7,113.6,101.4,136.3,112.8,115.5,153.1,115.8,125.5
Newfoundland and Labrador,11-Mar,120.9,127.1,138.6,108,96.1,121.3,164.2,112.8,104,136.7,113.3,116.1,159.6,117.5,125.8
Newfoundland and Labrador,11-Apr,121.5,127.5,139.6,106.6,95.3,123.5,174.7,114.2,103.9,137.3,113.1,116,165.8,118.3,126
Newfoundland and Labrador,11-May,121.5+N3,127.1,138.6,106.6,96.5,124.3,175.4,113.7,104.3,138.4,113.5,116.3,163.8,118,126.7
Newfoundland and Labrador,11-Jun,120.9,129,138.7,107.8,91.8,120.4,168.3,114.4,104.7,138.2,112.7,116,160.5,116.8,126.9
Newfoundland and Labrador,11-Jul,121.6,130.2,141,107.4,94.5,120,168.1,114.4,105,139.1,113,116.4,164.5,117.9,127.1
Newfoundland and Labrador,11-Aug,122,130,141,108.6,93.6,120.9,168.7,116.3,105.1,139.2,113.5,116.8,164.7,118.3,127.6
Newfoundland and Labrador,11-Sep,122.3,128.8,140.9,108.7,96.5,122.5,169.4,116.4,104.6,137.6,114.1,117,165.1,118.6,127.8
Newfoundland and Labrador,11-Oct,122.1,127.6,141.9,107.7,96.9,122.9,167.9,115.6,103.3,137.6,114.1,116.8,164.5,118,128.1
