Date,All-items,Food 4,Shelter 5,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food and energy 6,All-items excluding energy 6,Energy 6,Goods 7,Services 8
10-Jan,115.1,122.3,121.8,107.9,90.1,117.2,144.8,113.8,101.1,131.1,111.6,113.6,133.9,108.4,121.8
10-Feb,115.6,122.7,121.8,108.3,91.2,116.7,142.3,113.7,104.1,131.4,112.4,114.2,132.3,108.5,122.6
10-Mar,115.6,123.1,121.7,108.3,93.6,117.1,147.6,113.5,102.5,131.5,112.1,114.1,134.5,109,122.2
10-Apr,116,122.8,122.4,108.5,94.1,117.4,147.8,114.8,102.9,131.8,112.5,114.4,136,109.4,122.6
10-May,116.3,122.9,123,108.6,92.7,118.1,147.1,114.6,103.6,132.1,112.8,114.6,137.4,109.4,123.2
10-Jun,116.2,123,123.3,108.6,89.7,117.3,142.8,114.7,104.2,132.2,112.7,114.6,135.7,108.7,123.6
10-Jul,116.8,123.7,124.3,109.2,88.8,117.4,147.8,115.6,105.1,134.5,113,115,139.8,109.1,124.5
10-Aug,116.7,123.5,124,109,90.1,117.1,147.4,116.4,105,134.4,113,114.9,139.2,109.1,124.3
10-Sep,116.9,122.9,123.9,109.4,92.8,117.1,147,116.1,105.6,134.4,113.4,115.1,138.7,109.2,124.5
10-Oct,117.4,122.7,124.6,109.3,94.9,118.6,151.8,116,105.2,134.5,113.9,115.5,140.5,109.7,124.9
10-Nov,117.5,123.3,124.4,109.5,92.1,120.7,154.4,116.1,104.3,134.6,113.9,115.6,141.3,110.1,125
10-Dec,117.5,123.9,124.6,109.3,88.8,121.2,158,115.8,103.9,134.6,113.5,115.4,144,110,124.9
11-Jan,117.8,124.9,124.5,109.6,87.9,122.8,163.6,115.8,102.7,135.2,113.4,115.5,146,110.5,125
11-Feb,118.1,125.3,124.5,110.1,89.4,122.6,164.6,116,103.8,135,113.7,115.8,146.3,110.8,125.3
11-Mar,119.4,127.2,124.6,110.4,94.4,124.8,175.5,116.4,104.9,134.8,114.4,116.8,151.7,113,125.7
11-Apr,119.8,126.9,125.2,109.8,93.1,127.2,186.8,117.3,105.1,135,114.4,116.7,159.2,113.7,125.9
