date,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul
industrial_aggregate_including_unclassified_businesses_6_7,"14,303,330","14,351,994","14,402,242","14,540,918","14,774,410","15,036,935","14,852,036","14,630,995","14,958,547","15,002,276","14,945,157","15,064,273","14,566,758","14,620,012","14,675,717","14,795,634","15,002,586","15,312,302","15,083,573","14,894,109","15,224,400","15,222,462","15,212,064","15,268,812","14,771,558","14,801,839","14,884,360","15,016,128","15,345,076","15,599,092","15,360,030","15,225,717","15,470,573","15,474,012","15,472,765","15,471,955","15,020,413","15,073,687","15,133,939","15,231,272","15,492,681","15,669,442","15,490,567","15,402,288","15,637,190","15,690,865","15,639,601","15,663,853","15,203,626","15,212,615","15,261,342","15,341,143","15,688,997","15,916,456","15,711,855","15,580,369","15,838,976","15,895,073","15,792,016","15,841,855","15,418,455","15,425,130","15,438,230","15,573,859","15,882,428","16,075,658","15,873,285","15,653,409","15,959,281","16,043,711","15,950,745","16,036,552","15,537,454","15,531,509","15,584,383","15,732,641","15,992,859","16,309,262","16,046,196","15,827,497","16,208,860","16,198,047","16,169,054","16,279,180","15,756,620","15,832,554","15,870,768","15,951,749","16,269,471","16,624,542","16,362,552","16,217,861","16,573,651","16,543,178","16,527,753","16,626,304","16,126,394","16,182,331","16,273,726","16,334,643","16,675,941","16,972,434","16,672,905","16,526,841","16,877,947","16,943,737","16,938,346","16,947,305","16,531,831","16,574,754","16,637,674","16,713,706","17,032,899","17,271,946","17,064,742"
industrial_aggregate_excluding_unclassified_businesses_6_7,"14,076,045","14,122,061","14,163,528","14,295,917","14,516,652","14,759,920","14,561,243","14,336,914","14,653,557","14,700,701","14,654,390","14,772,725","14,293,722","14,364,178","14,416,630","14,531,715","14,722,232","15,012,628","14,775,399","14,585,149","14,905,158","14,907,306","14,916,554","14,983,452","14,506,758","14,550,340","14,628,287","14,753,213","15,071,017","15,305,437","15,063,402","14,941,087","15,188,126","15,198,684","15,204,100","15,210,959","14,774,302","14,835,195","14,902,312","14,990,205","15,252,259","15,419,017","15,233,745","15,140,478","15,379,649","15,434,449","15,390,392","15,433,784","14,986,716","15,006,197","15,046,411","15,123,286","15,464,236","15,691,235","15,484,147","15,344,731","15,599,211","15,654,595","15,557,917","15,607,096","15,180,759","15,185,342","15,194,787","15,327,614","15,619,707","15,813,775","15,600,480","15,374,667","15,679,270","15,757,148","15,672,044","15,749,352","15,260,442","15,258,149","15,303,632","15,436,362","15,692,234","15,985,968","15,723,876","15,507,812","15,889,793","15,885,639","15,871,277","15,976,405","15,456,857","15,529,449","15,557,601","15,633,465","15,938,552","16,282,912","16,020,720","15,870,729","16,227,776","16,204,633","16,185,113","16,267,645","15,771,998","15,834,370","15,929,542","15,988,843","16,325,648","16,610,293","16,310,373","16,168,370","16,518,010","16,582,227","16,655,497","16,658,808","16,233,136","16,282,047","16,333,922","16,405,385","16,709,490","16,961,163","16,751,266"
goods_producing_industries_8,"2,459,709","2,490,726","2,507,671","2,555,420","2,658,253","2,739,022","2,755,553","2,748,308","2,765,346","2,744,594","2,711,743","2,685,473","2,541,042","2,583,773","2,600,919","2,647,089","2,720,870","2,816,915","2,832,056","2,814,319","2,847,468","2,813,640","2,798,230","2,760,246","2,603,581","2,632,926","2,660,821","2,698,961","2,823,265","2,899,737","2,908,372","2,911,213","2,902,298","2,891,264","2,864,998","2,819,001","2,671,184","2,708,091","2,724,865","2,754,344","2,848,381","2,889,508","2,928,821","2,941,131","2,922,439","2,911,303","2,872,539","2,822,470","2,674,088","2,718,541","2,719,956","2,741,736","2,862,830","2,939,635","2,961,407","2,970,199","2,960,776","2,952,258","2,904,123","2,864,867","2,710,998","2,730,493","2,720,834","2,755,124","2,879,802","2,938,779","2,949,144","2,937,687","2,933,289","2,912,519","2,856,138","2,813,923","2,663,032","2,657,421","2,670,182","2,718,577","2,807,139","2,889,173","2,898,481","2,881,009","2,901,502","2,862,420","2,840,781","2,828,728","2,671,450","2,708,793","2,719,903","2,748,083","2,860,653","2,961,397","2,971,012","2,981,294","2,990,336","2,951,286","2,937,152","2,897,855","2,751,623","2,792,684","2,810,253","2,834,021","2,950,475","3,032,777","3,040,091","3,038,491","3,038,873","3,024,238","3,021,306","2,966,911","2,834,280","2,861,782","2,863,381","2,895,733","3,007,781","3,073,670","3,087,356"
forestry_logging_and_support_9,"34,569","35,487","34,797","31,750","36,043","44,137","47,931","46,267","45,772","42,908","40,021","38,809","35,532","36,108","35,408","32,123","33,521","43,398","47,495","47,180","46,240","43,549","41,646","39,945","35,370","35,856","35,375","31,679","35,117","45,434","48,153","45,212","42,972","40,539","39,290","37,534","34,003","34,605","34,310","31,146","33,603","42,501","44,921","44,078","42,059","41,051","39,652","37,890","34,902","35,282","34,480","31,581","33,240","41,279","44,970","44,938","43,437","41,490","39,372","38,046","35,252","36,126","35,822","33,315","36,841","44,221","47,331","45,901","44,570","41,936","40,880","39,102","36,026","36,106","35,386","31,167","36,250","44,861","47,030","45,222","43,599","41,732","40,886","40,032","36,083","37,152","35,920","32,283","34,773","43,780","46,440","45,444","44,304","41,182","39,908","38,520","35,005","35,492","35,344","32,726","35,590","43,913","45,934","44,988","43,094","40,911","40,642","39,059","35,946","36,417","35,883","32,899","35,966","43,805","44,971"
mining_quarrying_and_oil_and_gas_extraction,"170,995","178,700","179,098","177,906","180,486","185,824","191,405","192,390","194,953","194,993","193,635","199,553","199,248","208,531","208,599","205,030","200,829","205,615","206,622","205,583","209,599","210,240","210,267","214,448","207,136","214,597","217,875","214,926","216,842","224,259","224,187","228,414","227,281","226,913","227,036","225,320","222,015","228,924","226,152","220,500","222,931","225,254","225,212","228,347","228,237","227,818","226,671","230,175","219,955","230,748","231,851","227,473","228,371","229,196","234,535","236,644","236,321","236,641","233,816","236,702","225,612","223,374","220,397","212,143","210,643","209,769","212,131","208,490","207,964","206,716","201,484","202,916","194,468","192,570","190,838","187,248","186,539","188,654","190,936","189,264","189,769","188,367","187,784","191,442","187,252","193,051","195,435","194,072","194,977","201,765","202,023","205,012","206,746","205,577","206,795","204,656","200,261","202,503","200,607","199,615","201,928","204,733","206,128","207,571","206,183","205,579","204,929","203,153","196,951","197,972","197,383","195,491","198,445","201,653","203,322"
utilities,"115,474","114,792","114,693","116,230","118,408","120,815","120,933","119,487","118,843","118,414","118,320","120,513","118,249","119,471","118,948","120,569","126,027","126,229","126,473","125,292","124,025","125,341","126,087","124,869","121,317","120,804","121,516","120,728","124,587","124,379","124,810","123,528","122,024","122,622","122,323","120,405","117,923","119,585","118,284","118,583","119,534","120,978","120,982","119,613","118,972","118,316","117,554","116,346","115,016","116,029","116,551","118,305","120,054","119,217","119,059","117,595","116,656","116,782","115,702","114,707","113,755","114,501","113,445","114,122","116,733","115,331","116,146","116,464","116,814","115,954","115,233","115,460","114,154","116,197","116,386","116,766","119,012","120,131","121,351","120,358","120,254","119,377","118,842","117,829","117,338","119,051","118,015","118,138","120,009","120,674","121,450","121,288","121,351","121,119","121,636","122,410","121,822","121,430","120,431","122,789","125,799","125,827","126,593","126,769","125,939","123,576","124,500","123,922","124,410","126,261","126,449","126,126","127,937","128,902","131,160"
construction,"716,909","724,739","739,610","776,244","836,694","875,047","879,851","896,670","902,576","895,836","878,435","834,634","746,174","760,182","772,461","800,978","851,650","906,739","918,274","923,624","940,717","928,792","915,667","871,792","776,460","794,235","809,152","843,531","916,040","957,386","966,734","979,071","985,725","982,181","966,300","925,028","827,975","850,386","865,387","892,292","949,895","967,263","1,001,408","1,024,627","1,024,380","1,018,014","997,441","945,910","847,103","873,913","878,378","897,257","974,681","1,024,197","1,030,792","1,055,219","1,062,428","1,056,708","1,027,918","975,111","871,136","885,896","888,138","913,550","996,388","1,031,073","1,032,682","1,050,969","1,055,936","1,047,471","1,010,688","961,333","868,554","869,599","877,818","919,650","972,991","1,016,711","1,029,173","1,031,849","1,047,369","1,029,727","1,011,216","981,386","874,136","894,900","901,519","925,262","994,567","1,049,277","1,058,607","1,072,256","1,082,710","1,065,423","1,047,028","1,002,301","894,124","918,485","933,774","949,123","1,023,380","1,071,156","1,079,099","1,087,811","1,101,425","1,093,269","1,085,576","1,026,667","933,823","945,682","953,611","974,371","1,043,441","1,087,014","1,094,058"
manufacturing,"1,421,762","1,437,007","1,439,474","1,453,290","1,486,622","1,513,199","1,515,432","1,493,495","1,503,202","1,492,443","1,481,333","1,491,964","1,441,838","1,459,481","1,465,503","1,488,389","1,508,842","1,534,935","1,533,192","1,512,640","1,526,888","1,505,717","1,504,564","1,509,192","1,463,298","1,467,433","1,476,903","1,488,096","1,530,680","1,548,280","1,544,488","1,534,988","1,524,295","1,519,008","1,510,049","1,510,713","1,469,269","1,474,591","1,480,732","1,491,823","1,522,417","1,533,512","1,536,297","1,524,465","1,508,791","1,506,104","1,491,222","1,492,149","1,457,112","1,462,569","1,458,696","1,467,121","1,506,484","1,525,746","1,532,052","1,515,803","1,501,933","1,500,637","1,487,315","1,500,301","1,465,243","1,470,596","1,463,032","1,481,994","1,519,196","1,538,385","1,540,853","1,515,863","1,508,005","1,500,442","1,487,853","1,495,113","1,449,830","1,442,948","1,449,754","1,463,746","1,492,348","1,518,815","1,509,992","1,494,316","1,500,511","1,483,217","1,482,053","1,498,039","1,456,641","1,464,640","1,469,015","1,478,327","1,516,327","1,545,901","1,542,492","1,537,293","1,535,224","1,517,985","1,521,783","1,529,967","1,500,412","1,514,775","1,520,097","1,529,768","1,563,777","1,587,149","1,582,337","1,571,353","1,562,231","1,560,903","1,565,660","1,574,110","1,543,149","1,555,451","1,550,054","1,566,845","1,601,992","1,612,296","1,613,845"
service_producing_industries_10,"11,616,336","11,631,335","11,655,857","11,740,497","11,858,399","12,020,898","11,805,690","11,588,606","11,888,211","11,956,106","11,942,647","12,087,252","11,752,680","11,780,405","11,815,711","11,884,626","12,001,362","12,195,713","11,943,343","11,770,830","12,057,690","12,093,666","12,118,324","12,223,206","11,903,176","11,917,414","11,967,466","12,054,253","12,247,751","12,405,700","12,155,031","12,029,875","12,285,828","12,307,421","12,339,103","12,391,959","12,103,118","12,127,104","12,177,447","12,235,861","12,403,879","12,529,509","12,304,924","12,199,347","12,457,209","12,523,145","12,517,853","12,611,314","12,312,628","12,287,655","12,326,455","12,381,550","12,601,406","12,751,600","12,522,740","12,374,532","12,638,435","12,702,336","12,653,794","12,742,229","12,469,761","12,454,849","12,473,954","12,572,490","12,739,906","12,874,996","12,651,337","12,436,980","12,745,981","12,844,630","12,815,906","12,935,429","12,597,410","12,600,729","12,633,450","12,717,785","12,885,095","13,096,796","12,825,394","12,626,803","12,988,291","13,023,218","13,030,496","13,147,677","12,785,407","12,820,655","12,837,697","12,885,382","13,077,899","13,321,515","13,049,708","12,889,435","13,237,441","13,253,347","13,247,961","13,369,790","13,020,375","13,041,686","13,119,289","13,154,822","13,375,173","13,577,516","13,270,282","13,129,879","13,479,138","13,557,989","13,634,191","13,691,897","13,398,856","13,420,265","13,470,542","13,509,652","13,701,710","13,887,494","13,663,910"
trade_11,"2,588,773","2,532,080","2,526,291","2,564,882","2,597,545","2,619,827","2,623,477","2,602,215","2,606,859","2,617,785","2,637,445","2,692,396","2,608,035","2,562,654","2,557,249","2,574,479","2,600,668","2,637,166","2,630,950","2,617,702","2,624,568","2,622,018","2,655,267","2,694,862","2,615,961","2,560,081","2,563,871","2,597,782","2,647,430","2,673,325","2,675,638","2,668,320","2,663,795","2,660,642","2,693,044","2,714,726","2,652,883","2,617,783","2,621,782","2,633,100","2,678,598","2,696,337","2,695,103","2,694,914","2,694,545","2,691,900","2,717,265","2,778,948","2,690,248","2,629,316","2,642,721","2,667,066","2,725,460","2,740,705","2,743,364","2,736,023","2,736,760","2,739,462","2,751,981","2,794,727","2,710,825","2,654,245","2,649,662","2,682,889","2,728,671","2,740,875","2,751,190","2,731,365","2,741,311","2,750,163","2,765,494","2,811,295","2,710,442","2,664,797","2,658,056","2,682,609","2,723,657","2,759,597","2,747,895","2,738,552","2,747,922","2,751,754","2,777,641","2,822,281","2,724,191","2,675,790","2,663,520","2,683,681","2,731,813","2,783,037","2,784,791","2,786,690","2,784,470","2,780,682","2,800,708","2,846,376","2,741,063","2,699,137","2,710,774","2,722,997","2,781,023","2,810,667","2,800,899","2,803,617","2,799,109","2,809,346","2,860,476","2,891,726","2,816,061","2,787,002","2,780,174","2,790,727","2,831,605","2,854,275","2,848,055"
