province,employment_type,year,employment_unemployment_employment_rate
Newfoundland and Labrador,"Employment  (x 1,000)4",1976,157.4
Newfoundland and Labrador,"Employment  (x 1,000)5",1977,159.6
Newfoundland and Labrador,"Employment  (x 1,000)6",1978,165.1
Newfoundland and Labrador,"Employment  (x 1,000)7",1979,175.3
Newfoundland and Labrador,"Employment  (x 1,000)8",1980,181.5
Newfoundland and Labrador,"Employment  (x 1,000)9",1981,184.7
Newfoundland and Labrador,"Employment  (x 1,000)10",1982,179.6
Newfoundland and Labrador,"Employment  (x 1,000)11",1983,179.5
Newfoundland and Labrador,"Employment  (x 1,000)12",1984,177.6
Newfoundland and Labrador,"Employment  (x 1,000)13",1985,181
Newfoundland and Labrador,"Employment  (x 1,000)14",1986,185.9
Newfoundland and Labrador,"Employment  (x 1,000)15",1987,189
Newfoundland and Labrador,"Employment  (x 1,000)16",1988,198.5
Newfoundland and Labrador,"Employment  (x 1,000)17",1989,205.3
Newfoundland and Labrador,"Employment  (x 1,000)18",1990,205.5
Newfoundland and Labrador,"Employment  (x 1,000)19",1991,203.6
Newfoundland and Labrador,"Employment  (x 1,000)20",1992,193.4
Newfoundland and Labrador,"Employment  (x 1,000)21",1993,192.5
Newfoundland and Labrador,"Employment  (x 1,000)22",1994,192.2
Newfoundland and Labrador,"Employment  (x 1,000)23",1995,193.5
Newfoundland and Labrador,"Employment  (x 1,000)24",1996,187.4
Newfoundland and Labrador,"Employment  (x 1,000)25",1997,188.5
Newfoundland and Labrador,"Employment  (x 1,000)26",1998,192.2
Newfoundland and Labrador,"Employment  (x 1,000)27",1999,200.6
Newfoundland and Labrador,"Employment  (x 1,000)28",2000,197.2
Newfoundland and Labrador,"Employment  (x 1,000)29",2001,203
Newfoundland and Labrador,"Employment  (x 1,000)30",2002,205.3
Newfoundland and Labrador,"Employment  (x 1,000)31",2003,208.9
Newfoundland and Labrador,"Employment  (x 1,000)32",2004,211.1
Newfoundland and Labrador,"Employment  (x 1,000)33",2005,210
Newfoundland and Labrador,"Employment  (x 1,000)34",2006,212.5
Newfoundland and Labrador,"Employment  (x 1,000)35",2007,214.1
Newfoundland and Labrador,"Employment  (x 1,000)36",2008,217.4
Newfoundland and Labrador,"Employment  (x 1,000)37",2009,212.3
Newfoundland and Labrador,"Employment  (x 1,000)38",2010,218.8
Newfoundland and Labrador,"Employment  (x 1,000)39",2011,227.2
Newfoundland and Labrador,"Employment  (x 1,000)40",2012,234.4
Newfoundland and Labrador,"Employment  (x 1,000)41",2013,235.3
Newfoundland and Labrador,"Employment  (x 1,000)42",2014,230
Newfoundland and Labrador,"Employment  (x 1,000)43",2015,228.2
Newfoundland and Labrador,"Employment  (x 1,000)44",2016,224.4
Newfoundland and Labrador,"Employment  (x 1,000)45",2017,216.8
Newfoundland and Labrador,"Employment  (x 1,000)46",2018,215.7
Newfoundland and Labrador,"Unemployment  (x 1,000)5",1976,24.5
Newfoundland and Labrador,"Unemployment  (x 1,000)6",1977,29.4
Newfoundland and Labrador,"Unemployment  (x 1,000)7",1978,31.4
Newfoundland and Labrador,"Unemployment  (x 1,000)8",1979,30.8
Newfoundland and Labrador,"Unemployment  (x 1,000)9",1980,27.9
Newfoundland and Labrador,"Unemployment  (x 1,000)10",1981,28.9
Newfoundland and Labrador,"Unemployment  (x 1,000)11",1982,34.9
Newfoundland and Labrador,"Unemployment  (x 1,000)12",1983,39.9
Newfoundland and Labrador,"Unemployment  (x 1,000)13",1984,45.1
Newfoundland and Labrador,"Unemployment  (x 1,000)14",1985,46.1
Newfoundland and Labrador,"Unemployment  (x 1,000)15",1986,43.2
Newfoundland and Labrador,"Unemployment  (x 1,000)16",1987,41.3
Newfoundland and Labrador,"Unemployment  (x 1,000)17",1988,38.4
Newfoundland and Labrador,"Unemployment  (x 1,000)18",1989,37.8
Newfoundland and Labrador,"Unemployment  (x 1,000)19",1990,42.3
Newfoundland and Labrador,"Unemployment  (x 1,000)20",1991,44.9
Newfoundland and Labrador,"Unemployment  (x 1,000)21",1992,48.7
Newfoundland and Labrador,"Unemployment  (x 1,000)22",1993,48.7
Newfoundland and Labrador,"Unemployment  (x 1,000)23",1994,48.2
Newfoundland and Labrador,"Unemployment  (x 1,000)24",1995,42.7
Newfoundland and Labrador,"Unemployment  (x 1,000)25",1996,44
Newfoundland and Labrador,"Unemployment  (x 1,000)26",1997,42
Newfoundland and Labrador,"Unemployment  (x 1,000)27",1998,41.5
Newfoundland and Labrador,"Unemployment  (x 1,000)28",1999,40.4
Newfoundland and Labrador,"Unemployment  (x 1,000)29",2000,39.5
Newfoundland and Labrador,"Unemployment  (x 1,000)30",2001,38.7
Newfoundland and Labrador,"Unemployment  (x 1,000)31",2002,41.3
