province,year,fifteen_to_sixtyfour_years
Newfoundland and Labrador,2010,"184,139"
Newfoundland and Labrador,2011,"183,735"
Newfoundland and Labrador,2012,"182,867"
Newfoundland and Labrador,2013,"181,836"
Newfoundland and Labrador,2014,"180,454"
Newfoundland and Labrador,2015,"179,076"
Newfoundland and Labrador,2016,"177,730"
Newfoundland and Labrador,2017,"175,799"
Newfoundland and Labrador,2018,"173,246"
Prince Edward Island,2010,"48,756"
Prince Edward Island,2011,"49,572"
Prince Edward Island,2012,"49,480"
Prince Edward Island,2013,"49,002"
Prince Edward Island,2014,"48,529"
Prince Edward Island,2015,"48,339"
Prince Edward Island,2016,"48,753"
Prince Edward Island,2017,"49,558"
Prince Edward Island,2018,"49,943"
Nova Scotia,2010,"328,837"
Nova Scotia,2011,"328,293"
Nova Scotia,2012,"325,542"
Nova Scotia,2013,"322,029"
Nova Scotia,2014,"319,239"
Nova Scotia,2015,"316,747"
Nova Scotia,2016,"316,662"
Nova Scotia,2017,"317,209"
Nova Scotia,2018,"317,911"
New Brunswick,2010,"259,884"
New Brunswick,2011,"259,486"
New Brunswick,2012,"258,010"
New Brunswick,2013,"256,028"
New Brunswick,2014,"253,732"
New Brunswick,2015,"251,692"
New Brunswick,2016,"250,732"
New Brunswick,2017,"249,621"
New Brunswick,2018,"248,600"
Quebec,2010,"2,710,187"
Quebec,2011,"2,722,662"
Quebec,2012,"2,722,363"
Quebec,2013,"2,719,220"
Quebec,2014,"2,710,565"
Quebec,2015,"2,698,514"
Quebec,2016,"2,692,293"
Quebec,2017,"2,695,297"
Quebec,2018,"2,703,408"
Ontario,2010,"4,578,698"
Ontario,2011,"4,619,100"
Ontario,2012,"4,637,805"
Ontario,2013,"4,652,964"
Ontario,2014,"4,663,610"
Ontario,2015,"4,667,792"
Ontario,2016,"4,699,295"
Ontario,2017,"4,747,549"
Ontario,2018,"4,814,737"
Manitoba,2010,"406,656"
Manitoba,2011,"411,144"
Manitoba,2012,"415,060"
Manitoba,2013,"418,020"
Manitoba,2014,"421,159"
Manitoba,2015,"423,866"
Manitoba,2016,"429,366"
Manitoba,2017,"434,597"
Manitoba,2018,"437,868"
Saskatchewan,2010,"343,947"
Saskatchewan,2011,"348,028"
Saskatchewan,2012,"352,174"
Saskatchewan,2013,"355,870"
Saskatchewan,2014,"358,751"
Saskatchewan,2015,"360,197"
Saskatchewan,2016,"363,474"
Saskatchewan,2017,"366,635"
Saskatchewan,2018,"367,878"
Alberta,2010,"1,288,017"
Alberta,2011,"1,307,499"
Alberta,2012,"1,331,129"
Alberta,2013,"1,361,023"
Alberta,2014,"1,391,632"
Alberta,2015,"1,407,272"
Alberta,2016,"1,420,299"
Alberta,2017,"1,431,166"
Alberta,2018,"1,445,803"
British Columbia,2010,"1,554,095"
British Columbia,2011,"1,563,312"
British Columbia,2012,"1,583,032"
British Columbia,2013,"1,600,058"
British Columbia,2014,"1,622,694"
British Columbia,2015,"1,639,798"
British Columbia,2016,"1,660,477"
British Columbia,2017,"1,673,797"
British Columbia,2018,"1,688,750"
Yukon,2010,"12,714"
Yukon,2011,"12,967"
Yukon,2012,"13,198"
Yukon,2013,"13,256"
Yukon,2014,"13,468"
Yukon,2015,"13,627"
Yukon,2016,"13,866"
Yukon,2017,"14,170"
Yukon,2018,"14,393"
Northwest Territories 7,2010,"15,298"
Northwest Territories 8,2011,"15,435"
Northwest Territories 9,2012,"15,510"
Northwest Territories 10,2013,"15,555"
Northwest Territories 11,2014,"15,546"
Northwest Territories 12,2015,"15,657"
Northwest Territories 13,2016,"15,688"
Northwest Territories 14,2017,"15,737"
Northwest Territories 15,2018,"15,487"
Nunavut 7,2010,"10,442"
Nunavut 8,2011,"10,718"
Nunavut 9,2012,"10,856"
Nunavut 10,2013,"11,040"
Nunavut 11,2014,"11,211"
Nunavut 12,2015,"11,376"
Nunavut 13,2016,"11,513"
Nunavut 14,2017,"11,707"
Nunavut 15,2018,"11,968"
