provincial,year,general_governments_revenue,taxes_on_incomes,from_households,income_taxes,wealth_transfer_taxes,from_corporations_and_government_business_enterprises_liabilities,contributions_to_social_insurance_plans,taxes_on_production_and_imports,taxes_on_production,natural_resource_licences_and_taxes,motor_vehicle_licences,licences_permits_and_fees,real_property_taxes,capital_taxes,payroll_taxes,agricultural_insurance_premiums,other_taxes_on_production,taxes_on_products,sales_taxes,general_sales_taxes,other_sales_taxes,excise_taxes,gasoline_and_motive_fuel_taxes,tobacco_taxes,amusement_taxes,land_transfer_taxes,liquor_gallonage_taxes,other_excise_taxes,liquor_trading_profits,gaming_trading_profits,other_current_transfers_from_households,motor_vehicle_and_drivers_licences,health_insurance_premiums,other_transfers_from_households,current_transfers_from_non_profit_institutions_serving_households,current_transfers_from_general_governments,from_federal_general_government,from_local_general_governments,investment_income,royalties,interest_and_other_investment_income,sales_of_goods_and_services,capital_transfers,from_general_governments,from_federal_general_government2,final_expenditure_on_goods_and_services,of_which_medicare,current_transfers_to_households,social_assistance,income_maintenance,other_social_assistance,social_insurance_benefits_workers_compensation,social_insurance_benefits_other,other_current_transfers_to_households,current_transfers_to_non_profit_institutions_serving_households,subsidies,subsidies_on_products_and_imports,non_agriculture,subsidies_on_factors_of_production,agriculture,non_agriculture2,current_transfers_to_general_governments,to_federal_general_government,to_local_general_governments,to_aboriginal_general_governments,capital_transfers2,to_households,to_business,to_general_governments,to_local_general_governments2,interest_on_debt,fixed_capital,new_capital,inventories
Newfoundland and Labrador,2010,"8,294","1,123",852,852,0,271,164,"1,624",235,0,18,31,0,14,118,0,54,"1,389",852,850,2,357,166,131,0,0,60,0,70,110,84,45,0,39,11,"2,829","2,828",1,"1,666","1,560",106,674,119,119,119,"5,330",411,516,221,220,1,100,0,195,17,120,99,99,21,0,21,927,0,924,3,256,2,2,252,252,809,683,683,3
Newfoundland and Labrador,2011,"8,836","1,379",919,917,2,460,185,"1,682",264,0,22,35,0,21,127,0,59,"1,418",873,870,3,365,169,136,0,0,60,0,77,103,77,45,0,32,13,"2,415","2,414",1,"2,267","2,173",94,730,88,88,88,"5,637",423,556,226,225,1,100,0,230,16,151,110,110,41,0,41,921,0,887,34,253,1,0,252,252,779,738,738,-1
Newfoundland and Labrador,2012,"7,917","1,484","1,164","1,162",2,320,197,"1,760",302,0,23,36,0,34,144,0,65,"1,458",899,897,2,369,170,137,0,0,62,0,78,112,73,46,0,27,8,"1,968","1,966",2,"1,662","1,579",83,730,35,35,35,"5,629",435,662,227,226,1,112,0,323,17,137,89,89,48,0,48,780,0,766,14,166,1,0,165,165,911,818,818,160
Newfoundland and Labrador,2013,"7,737","1,520","1,153","1,151",2,367,203,"1,771",313,0,23,33,0,31,159,0,67,"1,458",864,862,2,393,182,145,0,0,66,0,83,118,78,54,0,24,8,"1,662","1,661",1,"1,709","1,612",97,765,21,21,21,"5,680",445,595,227,227,0,103,0,265,17,118,77,77,41,0,41,969,0,965,4,184,0,0,184,184,856,712,712,-18
Newfoundland and Labrador,2014,"7,683","1,595","1,293","1,290",3,302,183,"1,843",318,0,23,31,0,25,168,0,71,"1,525",893,891,2,418,186,158,0,0,74,0,92,122,77,48,0,29,12,"1,848","1,846",2,"1,300","1,218",82,812,13,13,13,"5,677",451,575,227,227,0,105,0,243,13,99,66,66,33,0,33,967,0,964,3,187,3,0,184,184,763,774,774,-47
Newfoundland and Labrador,2015,"6,922","1,685","1,385","1,381",4,300,202,"1,918",340,0,25,31,0,31,179,0,74,"1,578",925,923,2,422,191,159,0,0,72,0,90,141,75,51,0,24,9,"1,545","1,543",2,639,552,87,811,38,38,38,"5,848",455,586,228,228,0,103,0,255,9,85,58,58,27,0,27,943,0,939,4,205,4,0,201,201,750,656,656,19
Newfoundland and Labrador,2016,"7,194","1,801","1,492","1,488",4,309,190,"2,185",351,0,28,28,0,31,178,0,86,"1,834","1,062","1,060",2,529,285,159,0,0,83,2,107,136,82,58,0,24,9,"1,425","1,421",4,658,572,86,812,32,32,32,"5,854",453,671,228,228,0,101,0,342,11,94,61,61,33,0,33,"1,062",0,"1,058",4,185,4,0,181,181,697,432,432,-4
Newfoundland and Labrador,2017,"7,562","1,778","1,487","1,483",4,291,183,"2,380",350,0,32,27,0,33,168,0,90,"2,030","1,233","1,231",2,536,291,162,0,0,81,2,123,138,87,63,0,24,9,"1,581","1,579",2,685,603,82,833,26,26,26,"5,976",460,710,234,234,0,100,0,376,12,98,63,63,35,0,35,"1,125",0,"1,121",4,179,4,0,175,175,690,555,555,-6
Prince Edward Island,2010,"1,807",299,249,249,0,50,33,471,138,0,4,8,96,4,0,7,19,333,207,206,1,98,42,35,1,4,0,16,15,13,19,9,0,10,10,650,650,0,37,0,37,199,89,89,89,"1,213",63,108,77,45,32,18,0,13,20,81,22,12,59,27,32,224,5,219,0,41,0,0,41,41,129,191,191,-4
Prince Edward Island,2011,"1,724",307,278,278,0,29,33,493,146,0,5,8,98,6,0,10,19,347,214,213,1,100,42,36,1,4,0,17,18,15,28,9,0,19,16,611,611,0,35,0,35,189,12,12,12,"1,213",63,106,77,48,29,19,0,10,23,66,15,7,51,22,29,238,4,234,0,36,0,0,36,36,135,245,245,0
Prince Edward Island,2012,"1,776",343,301,301,0,42,35,497,149,0,4,8,102,7,0,8,20,348,214,213,1,101,42,37,1,4,0,17,17,16,35,10,0,25,24,616,616,0,29,0,29,192,5,5,5,"1,253",65,103,72,45,27,22,0,9,20,75,19,11,56,31,25,239,4,235,0,39,0,0,39,39,132,156,156,0
Prince Edward Island,2013,"1,890",367,315,315,0,52,37,517,156,0,5,10,106,6,0,9,20,361,234,233,1,93,37,33,1,4,0,18,19,15,37,12,0,25,23,648,648,0,29,0,29,192,40,40,40,"1,283",67,110,75,47,28,20,0,15,26,60,16,10,44,16,28,261,1,260,0,29,0,0,29,29,138,165,165,0
Prince Edward Island,2014,"1,885",383,326,326,0,57,38,528,161,0,6,10,110,6,0,9,20,367,244,243,1,89,35,31,1,4,0,18,19,15,32,12,0,20,21,654,654,0,33,0,33,191,5,5,5,"1,279",66,107,61,48,13,22,0,24,31,60,16,9,44,16,28,256,0,256,0,28,0,0,28,28,140,108,108,0
Prince Edward Island,2015,"1,912",403,343,343,0,60,23,543,163,0,6,11,112,5,0,8,21,380,250,249,1,93,36,32,1,5,0,19,20,17,32,12,0,20,21,655,655,0,31,0,31,201,3,3,3,"1,316",68,109,56,48,8,24,0,29,29,66,17,9,49,17,32,255,3,252,0,22,0,0,22,22,137,120,120,0
Prince Edward Island,2016,"2,069",434,354,354,0,80,34,560,168,0,6,11,114,8,0,8,21,392,258,257,1,97,36,32,1,8,0,20,20,17,32,12,0,20,21,689,689,0,37,0,37,221,41,41,41,"1,324",71,111,59,51,8,22,0,30,31,73,16,9,57,14,43,256,4,252,0,29,0,0,29,29,132,117,117,0
Prince Edward Island,2017,"2,202",450,366,366,0,84,19,585,178,0,6,11,121,9,0,10,21,407,270,269,1,100,38,32,1,9,0,20,20,17,32,12,0,20,22,753,753,0,39,0,39,230,72,72,72,"1,364",74,114,63,55,8,21,0,30,32,76,16,9,60,14,46,262,4,258,0,32,0,0,32,32,137,140,140,0
Nova Scotia,2010,"10,492","2,331","1,977","1,970",7,354,279,"2,574",233,3,44,33,0,80,0,1,72,"2,341","1,509","1,496",13,484,253,209,15,0,0,7,222,126,214,37,20,157,125,"3,188","3,188",0,223,5,218,"1,405",153,153,153,"6,914",663,729,327,218,109,214,0,188,483,164,129,101,35,2,33,"1,163",0,"1,159",4,0,0,0,0,0,946,"1,087","1,087",0
Nova Scotia,2011,"10,667","2,421","2,011","2,004",7,410,285,"2,738",240,3,45,34,0,80,0,1,77,"2,498","1,625","1,612",13,518,251,210,15,0,0,42,223,132,215,36,20,159,135,"3,097","3,095",2,222,6,216,"1,443",111,111,111,"7,258",680,787,374,225,149,227,0,186,563,172,129,110,43,2,41,"1,015",0,"1,008",7,0,0,0,0,0,966,"1,040","1,040",-2
